mode,schedulers,workers,connections,median_tps,min_tps,max_tps,min_jain_fairness,min_worker_completions,max_drain_seconds
ecto,8,40,8,62440.69658621541,62299.572433155976,62593.67481729252,0.9999427908780821,7659,5e-08
ecto,10,1,10,8439.103905611648,8308.039769483397,8492.807415400486,1.0,41541,3.8e-07
ecto,10,10,10,67771.77459436002,65392.731240020716,69689.6916314223,0.9999720927437824,32523,2e-07
ecto,10,40,10,72071.41111837434,70799.98367913741,76398.76224566204,0.9999417205856767,8753,1e-07
ecto,16,40,16,96185.69625253181,95984.44505317723,97898.22052864874,0.9999630300024627,11832,1.3e-07
epgsql,8,40,40,140332.89088884497,139514.59430752683,144990.91867363927,0.9999947005849217,17392,2.5e-07
epgsql,10,1,1,15080.963730282228,13126.144177134043,16697.07618450126,1.0,65631,5.9e-07
epgsql,10,10,10,79073.4974905997,78758.52859361607,83375.5058112736,0.9991484449910284,37559,2e-07
epgsql,10,40,40,139390.75722482108,138551.94529569073,139426.94403012726,0.9999776711401892,17254,2.5e-07
epgsql,16,40,40,132127.18761434953,132109.60228045343,132242.7843762596,0.9999940932184844,16422,3.5e-07
epgsql_batch,10,10,10,155699.42605396692,154134.67221167023,157698.72169849175,0.9993160087048615,74239,8e-08
no_io,8,40,8,381416.3452722299,381017.9448258114,383586.3753478583,0.9999075328512296,46829,7e-08
no_io,10,40,10,391541.15775316255,390145.87687370926,393899.13913810236,0.9999395026939183,47933,8e-08
no_io,16,40,16,410707.9358696681,407374.5349828029,416530.27756450063,0.9999378361808273,50081,5e-08
postgrex,8,40,8,65518.892299153544,64810.57642054601,70051.63767268747,0.9999506673913487,8017,1.1e-07
postgrex,10,1,10,8952.637926814556,8680.36727675144,9065.76628260204,1.0,43402,4.8e-07
postgrex,10,10,10,76940.02930634118,75290.52855202618,78560.87734794276,0.9999915222087866,37503,9e-08
postgrex,10,40,10,83827.23358942072,77540.14494364691,84459.75098435052,0.9999486860415788,9566,1.5e-07
postgrex,16,40,16,104577.35231676913,104387.51147396403,105456.6795010317,0.9999418368554657,12803,1.2e-07
postgrex_held,10,10,10,114875.11469259267,114162.63188876314,115685.47101713977,0.999824609109535,56012,1e-07
sql,8,40,8,396302.19780371635,383693.8052025692,430892.1752778736,0.17347218595753797,1,5.883e-05
sql,10,1,10,85220.28864575426,85035.00348743505,85964.10445829321,1.0,430785,0.268427707
sql,10,10,10,356854.7726801468,344953.58169509005,434851.7773784026,0.49743118974718725,1,0.120020563
sql,10,40,10,482214.4131888577,454264.53437861806,491101.9728858312,0.22218169798149323,1,0.00022751
sql,16,40,16,555112.5122239185,540610.0781138112,566894.0404985717,0.33416107371309056,1,0.00013304
