suite,mode,schedulers,workers,connections,docker_median_tps,native_median_tps,change_percent,docker_min_tps,docker_max_tps,native_min_tps,native_max_tps,repeat_ranges,native_unsuccessful_attempts,docker_min_fairness,native_min_fairness,native_min_worker_completions
matrix,ecto,8,40,8,62440.69658621541,59628.25376033036,-4.504182335637075,62299.572433155976,62593.67481729252,59423.18019352265,63853.72996343406,overlap,0,0.9999427908780821,0.9999564848621092,7348
matrix,ecto,10,1,10,8439.103905611648,8304.613732496748,-1.5936546654612194,8308.039769483397,8492.807415400486,7926.709443685973,8682.787988231097,overlap,0,1.0,1.0,39634
matrix,ecto,10,10,10,67771.77459436002,66775.79322679504,-1.4696108719689072,65392.731240020716,69689.6916314223,66503.88003298345,66837.62605628553,overlap,0,0.9999720927437824,0.9999907900065251,33142
matrix,ecto,10,40,10,72071.41111837434,71140.18809607395,-1.2920837927966944,70799.98367913741,76398.76224566204,64806.78167097515,75666.51060581338,overlap,0,0.9999417205856767,0.9999531150696392,8005
matrix,ecto,16,40,16,96185.69625253181,94731.88417200424,-1.5114639048935508,95984.44505317723,97898.22052864874,88745.82290180332,95693.37764053815,native below,0,0.9999630300024627,0.9999689134644757,10966
matrix,epgsql,8,40,40,140332.89088884497,138324.36390972228,-1.4312588919112357,139514.59430752683,144990.91867363927,137792.58023482806,138414.28181229005,native below,0,0.9999947005849217,0.9999950217730259,17163
matrix,epgsql,10,1,1,15080.963730282228,16303.574416431025,8.106979819159843,13126.144177134043,16697.07618450126,16040.0868756833,17119.517405176328,overlap,0,1.0,1.0,80201
matrix,epgsql,10,10,10,79073.4974905997,83432.00492198771,5.511969964280583,78758.52859361607,83375.5058112736,76523.1008611054,83940.5223474706,overlap,0,0.9991484449910284,0.9994538531610668,37313
matrix,epgsql,10,40,40,139390.75722482108,138028.16985635203,-0.9775306452144084,138551.94529569073,139426.94403012726,137555.23333807223,138235.8739755842,native below,0,0.9999776711401892,0.9999839000845101,17125
matrix,epgsql,16,40,40,132127.18761434953,130110.01898085981,-1.5266870277882538,132109.60228045343,132242.7843762596,130106.07476975532,130132.35091117473,native below,0,0.9999940932184844,0.9999924423801306,16183
matrix,epgsql_batch,10,10,10,155699.42605396692,149868.95761334075,-3.744694883207389,154134.67221167023,157698.72169849175,147971.8015809222,163116.03621673025,overlap,0,0.9993160087048615,0.9993021987556236,70731
matrix,no_io,8,40,8,381416.3452722299,386595.6718611516,1.3579194109326842,381017.9448258114,383586.3753478583,384277.0842780675,388220.6904113454,native above,0,0.9999075328512296,0.9999103956965418,47009
matrix,no_io,10,40,10,391541.15775316255,395888.98265960213,1.1104387930477966,390145.87687370926,393899.13913810236,392226.98656616063,395928.47193519486,overlap,0,0.9999395026939183,0.9999226307551978,48178
matrix,no_io,16,40,16,410707.9358696681,407039.1452756975,-0.8932845639327502,407374.5349828029,416530.27756450063,373292.69932750944,414395.0346282073,overlap,0,0.9999378361808273,0.9999513247193994,45883
matrix,postgrex,8,40,8,65518.892299153544,70594.1001087218,7.7461746245576,64810.57642054601,70051.63767268747,67910.26875222799,72010.63065086537,overlap,0,0.9999506673913487,0.9999406313534902,8391
matrix,postgrex,10,1,10,8952.637926814556,8791.558345596559,-1.799241547963626,8680.36727675144,9065.76628260204,8398.863567180442,8800.836443495366,overlap,0,1.0,1.0,41995
matrix,postgrex,10,10,10,76940.02930634118,76239.09335176219,-0.9110159703581311,75290.52855202618,78560.87734794276,75300.61044771515,77186.08041762603,overlap,0,0.9999915222087866,0.9999843814273904,37491
matrix,postgrex,10,40,10,83827.23358942072,84527.88533705423,0.8358283073794937,77540.14494364691,84459.75098435052,81033.70570946972,86683.48388327331,overlap,0,0.9999486860415788,0.999931423090079,9943
matrix,postgrex,16,40,16,104577.35231676913,102385.18519077281,-2.0962159372290845,104387.51147396403,105456.6795010317,99403.0824639612,104229.93492774373,native below,0,0.9999418368554657,0.999948740639988,12260
matrix,postgrex_held,10,10,10,114875.11469259267,114018.42859856585,-0.745754288315037,114162.63188876314,115685.47101713977,113131.76810253182,115118.08107209038,overlap,0,0.999824609109535,0.9999299046076405,55867
matrix,sql,8,40,8,396302.19780371635,398743.09104269213,0.6159171593049573,383693.8052025692,430892.1752778736,388539.66840797506,415129.58991538954,overlap,1,0.17347218595753797,0.17278738203419877,1
