mode,schedulers,workers,connections,median_tps,min_tps,max_tps,min_jain_fairness,min_worker_completions,max_drain_seconds
ecto,8,40,8,59628.25376033036,59423.18019352265,63853.72996343406,0.9999564848621092,7348,1.2e-07
ecto,10,1,10,8304.613732496748,7926.709443685973,8682.787988231097,1.0,39634,3.9e-07
ecto,10,10,10,66775.79322679504,66503.88003298345,66837.62605628553,0.9999907900065251,33142,1.7e-07
ecto,10,40,10,71140.18809607395,64806.78167097515,75666.51060581338,0.9999531150696392,8005,9e-08
ecto,16,40,16,94731.88417200424,88745.82290180332,95693.37764053815,0.9999689134644757,10966,8e-08
epgsql,8,40,40,138324.36390972228,137792.58023482806,138414.28181229005,0.9999950217730259,17163,2.31e-07
epgsql,10,1,1,16303.574416431025,16040.0868756833,17119.517405176328,1.0,80201,7.9e-07
epgsql,10,10,10,83432.00492198771,76523.1008611054,83940.5223474706,0.9994538531610668,37313,7e-08
epgsql,10,40,40,138028.16985635203,137555.23333807223,138235.8739755842,0.9999839000845101,17125,1.5e-07
epgsql,16,40,40,130110.01898085981,130106.07476975532,130132.35091117473,0.9999924423801306,16183,2e-07
epgsql_batch,10,10,10,149868.95761334075,147971.8015809222,163116.03621673025,0.9993021987556236,70731,9e-08
no_io,8,40,8,386595.6718611516,384277.0842780675,388220.6904113454,0.9999103956965418,47009,5e-08
no_io,10,40,10,395888.98265960213,392226.98656616063,395928.47193519486,0.9999226307551978,48178,1.4e-07
no_io,16,40,16,407039.1452756975,373292.69932750944,414395.0346282073,0.9999513247193994,45883,5e-08
postgrex,8,40,8,70594.1001087218,67910.26875222799,72010.63065086537,0.9999406313534902,8391,7e-08
postgrex,10,1,10,8791.558345596559,8398.863567180442,8800.836443495366,1.0,41995,6e-07
postgrex,10,10,10,76239.09335176219,75300.61044771515,77186.08041762603,0.9999843814273904,37491,6e-08
postgrex,10,40,10,84527.88533705423,81033.70570946972,86683.48388327331,0.999931423090079,9943,1.4e-07
postgrex,16,40,16,102385.18519077281,99403.0824639612,104229.93492774373,0.999948740639988,12260,1e-07
postgrex_held,10,10,10,114018.42859856585,113131.76810253182,115118.08107209038,0.9999299046076405,55867,9e-08
sql,8,40,8,398743.09104269213,388539.66840797506,415129.58991538954,0.17278738203419877,1,0.00011058
sql,10,1,10,83201.58565725869,80399.01687625697,87582.45893542164,1.0,438487,0.006555973
sql,10,10,10,343332.87913773593,326682.7002694959,416640.81043171696,0.49271513201664024,1,0.247545644
sql,10,40,10,479358.6196451554,469487.5062591365,479620.0901484307,0.22389262517726807,1,0.00010107
sql,16,40,16,565599.4395255733,536205.427188972,591892.3104808144,0.3220136692129544,1,0.061208922
