mode,schedulers,workers,connections,median_tps,min_tps,max_tps,min_jain_fairness,min_worker_completions,max_drain_seconds
ecto,10,40,1,9055.897333664396,9001.040864674767,9100.431765313402,0.999999544897255,1126,1e-07
ecto,10,40,4,32537.91787890807,31881.761745053165,33825.34915766336,0.9999836188729513,3951,6e-08
ecto,10,40,10,68596.6969571167,62459.86627326072,73771.01327417976,0.9999502553458784,7686,1.7e-07
ecto,10,40,20,97152.57175665608,96296.6540593726,97262.61433754307,0.9999644710668951,11806,1e-07
ecto,10,40,40,107038.37286669175,106958.76347007453,107734.12100652386,0.999980506366854,13262,1.4e-07
postgrex,10,40,1,9868.28744933414,9726.93607739145,10052.74834541303,0.9999994921032342,1216,1.3e-07
postgrex,10,40,4,36630.71396748639,35483.24990863568,37730.95240105576,0.9999878421593528,4407,8e-08
postgrex,10,40,10,74975.93844725142,73325.87957680006,84124.15720509124,0.9999596859968186,9020,1.4e-07
postgrex,10,40,20,105460.78630904642,97668.27313166566,105955.03599640031,0.9999601822927919,12071,8e-08
postgrex,10,40,40,115278.16300571155,115127.1067791763,115412.24044357192,0.9999903923933043,14313,1.89e-07
