mode,schedulers,workers,connections,median_tps,min_tps,max_tps,min_jain_fairness,min_worker_completions,max_drain_seconds
ecto,10,40,1,9402.240260439909,9153.689120328785,9454.751825488942,0.9999998234254094,1145,1.4e-07
ecto,10,40,4,33754.81272565125,32499.478647906715,35409.96333939089,0.9999853363208897,4043,1.1e-07
ecto,10,40,10,72610.23611166891,66535.60747312183,76125.85474870435,0.9999435237207912,8223,1.6e-07
ecto,10,40,20,98633.35968696486,98563.81033336137,100009.18877906185,0.999956288620785,12180,1.5e-07
ecto,10,40,40,108406.57464120288,107516.70339342399,109757.08255149791,0.9999771247390261,13348,7e-08
postgrex,10,40,1,9756.691489857792,9694.035662660901,10463.651729890049,0.9999998137567269,1212,1.2e-07
postgrex,10,40,4,35533.75608162311,35529.35107749208,35657.91991565064,0.9999892223960579,4412,1.4e-07
postgrex,10,40,10,83397.96056006072,80945.41748733379,86839.48611787878,0.9999356387463828,9933,8e-08
postgrex,10,40,20,106283.46667051456,106115.37319346242,106944.59718418875,0.9999627167379171,13026,1.5e-07
postgrex,10,40,40,116197.2214451441,115656.90967512797,116269.44966138473,0.9999910911567947,14342,9e-08
