mode,repeat,transactions,api_started_tps,end_seconds,last_api_finished_seconds,start_seconds,min_worker_transactions
no_io,1,3948123,394812.3,10,10.000158539,0,97661
no_io,1,3951229,395122.9,20,20.000544364,10,97928
no_io,1,3950724,395072.4,30,30.000279518,20,97853
no_io,1,3951294,395129.4,40,40.000388513,30,97926
no_io,1,3948453,394845.3,50,50.000653116,40,97810
no_io,1,3951240,395124.0,60,60.000144159,50,97813
sql,3,5016059,501605.9,10,60.533787591,0,1
sql,3,4721297,472129.7,20,60.533788581,10,0
sql,3,4293745,429374.5,30,60.533788871,20,0
sql,3,4470102,447010.2,40,60.533789031,30,0
sql,3,4617548,461754.8,50,60.533789251,40,0
sql,3,4470783,447078.3,60,60.533793011,50,0
epgsql,2,1368574,136857.4,10,10.000446543,0,34118
epgsql,2,1365575,136557.5,20,20.000519079,10,34074
epgsql,2,1364478,136447.8,30,30.000384379,20,34017
epgsql,2,1367894,136789.4,40,40.00036611,30,34112
epgsql,2,1363719,136371.9,50,50.000343514,40,33989
epgsql,2,1364555,136455.5,60,60.00391095,50,33970
postgrex,2,1157433,115743.3,10,10.00054011,0,28847
postgrex,2,1161908,116190.8,20,20.000533009,10,28921
postgrex,2,1158390,115839.0,30,30.000509699,20,28820
postgrex,2,1165093,116509.3,40,40.000573987,30,28999
postgrex,2,1152457,115245.7,50,50.000523775,40,28718
postgrex,2,1164923,116492.3,60,60.000267332,50,29053
postgrex,3,1150320,115032.0,10,10.000357707,0,28663
postgrex,3,1163067,116306.7,20,20.00039284,10,28959
postgrex,3,1155144,115514.4,30,30.0005379,20,28791
postgrex,3,1157615,115761.5,40,40.000377477,30,28846
postgrex,3,1150138,115013.8,50,50.000352611,40,28643
postgrex,3,1158454,115845.4,60,60.00022911,50,28833
ecto,2,1081234,108123.4,10,10.000472887,0,26909
ecto,2,1077398,107739.8,20,20.000503156,10,26794
ecto,2,1076492,107649.2,30,30.00052396,20,26829
ecto,2,1078307,107830.7,40,40.000370488,30,26827
ecto,2,1076032,107603.2,50,50.000473512,40,26781
ecto,2,1077409,107740.9,60,60.000245299,50,26773
no_io,2,3962328,396232.8,10,10.000190641,0,97658
no_io,2,3962990,396299.0,20,20.000658971,10,97524
no_io,2,3940948,394094.8,30,30.000323534,20,96850
no_io,2,3964461,396446.1,40,40.000136469,30,97965
no_io,2,3972169,397216.9,50,50.000678118,40,98185
no_io,2,3993134,399313.4,60,60.000126448,50,98604
epgsql_batch,1,2581212,258121.2,10,10.000210521,0,64351
epgsql_batch,1,2578144,257814.4,20,20.000250669,10,64314
epgsql_batch,1,2566491,256649.1,30,30.000246438,20,64004
