1/28 pilot postgrex_held r0: 715,391 transactions / 5.000s = 143,072/s; pilot predicts 8584333
2/28 pilot sql r0: 2,653,098 transactions / 5.826s = 455,395/s; pilot predicts 27323704
3/28 pilot no_io r0: 1,965,866 transactions / 5.000s = 393,163/s; pilot predicts 23589805
4/28 pilot ecto r0: 535,010 transactions / 5.000s = 106,996/s; pilot predicts 6419762
5/28 pilot epgsql_batch r0: 1,293,158 transactions / 5.001s = 258,590/s; pilot predicts 15515379
6/28 pilot postgrex r0: 573,871 transactions / 5.000s = 114,768/s; pilot predicts 6886055
7/28 pilot epgsql r0: 683,013 transactions / 5.004s = 136,492/s; pilot predicts 8189532
8/28 measurement no_io r1: 23,701,063 transactions / 60.000s = 395,017/s; pilot predicts 23589805
9/28 measurement sql r3: 27,589,534 transactions / 60.534s = 455,770/s; pilot predicts 27323704
10/28 measurement epgsql r2: 8,194,795 transactions / 60.004s = 136,571/s; pilot predicts 8189532
11/28 measurement postgrex r2: 6,960,204 transactions / 60.000s = 116,003/s; pilot predicts 6886055
12/28 measurement postgrex r3: 6,934,738 transactions / 60.000s = 115,579/s; pilot predicts 6886055
13/28 measurement ecto r2: 6,466,872 transactions / 60.000s = 107,781/s; pilot predicts 6419762
14/28 measurement no_io r2: 23,796,030 transactions / 60.000s = 396,600/s; pilot predicts 23589805
15/28 measurement epgsql_batch r1: 15,445,906 transactions / 60.001s = 257,428/s; pilot predicts 15515379
16/28 measurement epgsql r1: 8,238,816 transactions / 60.004s = 137,304/s; pilot predicts 8189532
17/28 measurement epgsql_batch r3: 15,445,604 transactions / 60.001s = 257,424/s; pilot predicts 15515379
18/28 measurement ecto r1: 6,448,345 transactions / 60.000s = 107,472/s; pilot predicts 6419762
19/28 measurement sql r2: 28,214,661 transactions / 60.900s = 463,294/s; pilot predicts 27323704
20/28 measurement epgsql r3: 8,217,193 transactions / 60.003s = 136,947/s; pilot predicts 8189532
21/28 measurement ecto r3: 6,429,922 transactions / 60.000s = 107,165/s; pilot predicts 6419762
22/28 measurement postgrex r1: 6,945,858 transactions / 60.000s = 115,764/s; pilot predicts 6886055
23/28 measurement postgrex_held r3: 8,669,239 transactions / 60.000s = 144,487/s; pilot predicts 8584333
24/28 measurement postgrex_held r1: 8,654,126 transactions / 60.000s = 144,235/s; pilot predicts 8584333
25/28 measurement no_io r3: 23,684,222 transactions / 60.000s = 394,736/s; pilot predicts 23589805
26/28 measurement sql r1: 28,218,365 transactions / 60.526s = 466,218/s; pilot predicts 27323704
27/28 measurement postgrex_held r2: 8,894,883 transactions / 60.000s = 148,247/s; pilot predicts 8584333
28/28 measurement epgsql_batch r2: 15,512,483 transactions / 60.001s = 258,538/s; pilot predicts 15515379
Plan finished. Summarise successful and failed attempts together.
